Subject,Run,computer_non-face.txt,event_computer_neutral.txt,event_computer_punish.txt,event_computer_reward.txt,event_friend_neutral.txt,event_friend_punish.txt,event_friend_reward.txt,event_stranger_neutral.txt,event_stranger_punish.txt,event_stranger_reward.txt,friend_face.txt,missed_trial.txt,stranger_face.txt,Missed_Trial_Count,Exclusion
10317,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10317,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10369,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10369,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10402,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,7.0,8.0,18.0,1.0,17.0,1,Include
10402,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10418,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10418,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10462,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10478,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10478,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10486,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,7.0,18.0,1.0,17.0,1,Include
10486,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10529,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10529,2,18.0,2.0,8.0,8.0,2.0,8.0,7.0,2.0,8.0,8.0,17.0,1.0,18.0,1,Include
10541,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10541,2,17.0,2.0,7.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,1.0,18.0,1,Include
10555,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10555,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10559,1,16.0,2.0,7.0,7.0,2.0,7.0,8.0,2.0,6.0,7.0,17.0,6.0,15.0,6,Include
10559,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,7.0,18.0,1.0,17.0,1,Include
10572,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10572,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10581,1,17.0,2.0,7.0,8.0,2.0,8.0,8.0,2.0,8.0,7.0,18.0,2.0,17.0,2,Include
10581,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,1.0,8.0,7.0,18.0,2.0,16.0,2,Include
10584,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10585,1,17.0,2.0,8.0,7.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,1.0,18.0,1,Include
10585,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10589,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10589,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10590,1,18.0,2.0,8.0,8.0,2.0,8.0,7.0,2.0,8.0,8.0,17.0,1.0,18.0,1,Include
10590,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10596,1,18.0,2.0,8.0,8.0,1.0,8.0,8.0,2.0,8.0,8.0,17.0,1.0,18.0,1,Include
10596,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,6.0,8.0,18.0,2.0,16.0,2,Include
10603,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10606,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10606,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10608,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10608,2,13.0,2.0,7.0,4.0,1.0,7.0,4.0,0.0,5.0,5.0,12.0,19.0,10.0,19,Exclude
10617,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10636,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,7.0,8.0,18.0,1.0,17.0,1,Include
10636,2,13.0,1.0,7.0,5.0,2.0,8.0,8.0,2.0,7.0,7.0,18.0,7.0,16.0,7,Include
10638,1,17.0,2.0,7.0,8.0,1.0,8.0,8.0,2.0,7.0,7.0,17.0,4.0,16.0,4,Include
10638,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10640,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10640,2,15.0,1.0,6.0,8.0,2.0,7.0,5.0,1.0,8.0,7.0,14.0,9.0,16.0,9,Include
10641,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10642,1,17.0,2.0,7.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,1.0,18.0,1,Include
10642,2,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,0.0,18.0,0,Include
10644,1,17.0,2.0,8.0,7.0,2.0,8.0,8.0,2.0,8.0,8.0,18.0,1.0,18.0,1,Include
10644,2,18.0,2.0,8.0,8.0,2.0,8.0,7.0,1.0,8.0,8.0,17.0,2.0,17.0,2,Include
10647,1,18.0,2.0,8.0,8.0,2.0,8.0,8.0,2.0,8.0,7.0,18.0,1.0,17.0,1,Include
